cf_type,addr,target,bpu_hit_uc_hit,bpu_hit_uc_miss,mispred_uc_hit,mispred_uc_miss,misfetch_uc_hit,misfetch_uc_miss,btb_miss_uc_hit,btb_miss_uc_miss,other_recovery_uc_hit,other_recovery_uc_miss,recover_redirect_extra_fetch_latency
3,7ffdac4fff13,7ffdaa31d200,0,1,0,0,0,0,0,1,0,0,2
2,7ffda9cdf2eb,7ffda9cdf333,0,5,0,0,0,0,0,4,0,0,8
2,7ffdac67fae7,0,0,25,0,0,0,0,0,0,0,0,0
1,7ffdac4ffab8,7ffdac4ffabf,0,64,0,0,0,0,0,8,0,0,16
3,7ffdac4ffaba,7ffdac67f910,0,25,0,0,0,0,0,14,0,0,28
4,7ffdac4deef4,7ffdac4def15,0,306,0,0,0,18,0,14,0,0,64
2,7ffda9cdf2b2,0,0,5,0,0,0,0,0,0,0,0,0
2,7ffdac4ffab1,7ffdac4ffaba,0,89,0,1,0,0,0,16,0,0,34
3,7ffdac4ffab3,7ffdac67fb30,0,64,0,0,0,0,0,9,0,0,18
2,7ffdac67facc,7ffdac67fad7,0,1,0,0,0,0,0,1,0,0,2
7,7ffdac4feacb,7ffdaa2e3cc1,0,64,0,0,0,0,0,0,0,0,0
2,7ffdac67fa85,7ffdac67fac0,0,1,0,0,0,0,0,1,0,0,2
2,7ffda9cdf285,7ffda9cdf294,0,5,0,0,0,0,0,4,0,0,8
2,7ffda9cdf2c5,0,0,5,0,0,0,0,0,0,0,0,0
2,7ffdac67fac3,0,0,1,0,0,0,0,0,0,0,0,0
2,7ffdac4f76dd,7ffdac4f77f7,0,50,0,0,0,0,0,1,0,0,2
7,7ffda9dd66d8,7ffdac4decaa,0,11,0,0,0,0,0,0,0,0,0
3,7ffdac4ffe99,7ffda9f25da0,0,1,0,0,0,0,0,1,0,0,2
7,7ffdac4deed5,7ffdaa3640f7,0,24,0,0,0,0,0,0,0,0,0
1,7ffda9cdf2d3,7ffda9cdf2e4,0,5,0,0,0,0,0,1,0,0,2
2,7ffda9cdf22b,0,0,13,0,0,0,0,0,1,0,0,2
2,7ffdac4f722a,7ffdac4f7410,0,50,0,1,0,0,0,1,0,0,4
2,7ffdac4ffa64,0,0,89,0,0,0,0,0,0,0,0,0
1,7ffdac4dfa24,7ffdac4e04c1,0,127,0,0,0,0,0,1,0,0,2
