cf_type,addr,target,bpu_hit_uc_hit,bpu_hit_uc_miss,mispred_uc_hit,mispred_uc_miss,misfetch_uc_hit,misfetch_uc_miss,btb_miss_uc_hit,btb_miss_uc_miss,other_recovery_uc_hit,other_recovery_uc_miss,recover_redirect_extra_fetch_latency
2,7f717d4a7302,0,0,338,0,0,0,0,0,0,0,0,0
2,7f717d427bfd,0,0,675,0,0,0,0,0,0,0,0,0
2,7f717d427bed,0,0,675,0,0,0,0,0,0,0,0,0
1,7f7180c8f710,7f7180c8f754,0,647,0,0,0,0,0,1,0,0,2
2,7f7180c8f75e,7f7180c8f7f0,0,2367,0,1,0,0,0,1,0,0,4
7,7f717d4a63d8,7f717d4a7b18,0,338,0,0,0,0,0,0,0,0,0
2,7f7180c8f76f,7f7180c8f800,0,1014,0,0,0,0,0,1,0,0,2
2,7f7180c8f733,7f7180c8f750,0,4424,0,5,0,0,0,1,0,0,12
1,7f717d4a7b84,7f717d4a7a36,0,338,0,0,0,0,0,1,0,0,2
2,7f7180c8f33a,7f7180c8f370,0,338,0,0,0,0,0,1,0,0,2
2,7f717d4a7271,7f717d4a7298,0,338,0,0,0,0,0,1,0,0,2
7,7f717d4a6a2f,7f717d4a714b,0,338,0,0,0,0,0,0,0,0,0
2,7f717d4a722e,0,0,338,0,0,0,0,0,0,0,0,0
3,7f717d4a725e,7f717d5e6b40,0,338,0,0,0,0,0,337,0,0,674
7,7f717d4a6e11,7f717d4a5cc3,0,338,0,0,0,0,0,0,0,0,0
2,7f7180c8f6f3,7f7180c8f720,0,7099,0,75,0,0,0,1,0,0,152
7,7f717d48e208,7f717d492591,0,338,0,0,0,0,0,0,0,0,0
2,7f7180c8f6ff,7f7180c8f7f0,0,2675,0,3,0,0,0,1,0,0,8
1,7f717d5a72f2,7f717d4883e0,0,1014,0,0,0,0,0,1,0,0,2
8,7f7181c0d60e,7f7181c0d610,0,978,0,0,0,0,0,0,0,0,0
2,7f717d4a7aaf,0,0,338,0,0,0,0,0,0,0,0,0
1,7f717d4a72eb,7f717d4a72fb,0,338,0,0,0,0,0,1,0,0,2
2,7f717d4a72e0,0,0,338,0,0,0,0,0,0,0,0,0
2,7f717d4a7ae2,7f717d4a7af9,0,338,0,0,0,0,0,1,0,0,2
2,7f717d4a7298,7f717d4a72d8,0,338,0,0,0,0,0,338,0,0,676
2,7f717d4a7ac3,0,0,338,0,0,0,0,0,0,0,0,0
1,7f717d48e53b,7f717d48e33f,0,676,0,0,0,0,0,1,0,0,2
3,7f717d48e531,7f717d5e6b40,0,676,0,0,0,0,0,1,0,0,2
2,7f717d426930,7f717d426ad0,0,338,0,0,0,0,0,1,0,0,2
3,7f717d426925,7f717d240100,0,338,0,0,0,0,0,1,0,0,2
2,7f717d48e563,7f717d48e9d0,0,676,0,0,0,0,0,1,0,0,2
1,7f717d4a6523,7f717d4a63a0,0,338,0,0,0,0,0,1,0,0,2
2,7f717d42691f,0,0,338,0,0,0,0,0,0,0,0,0
3,7f717d4a651a,7f717d5f5f30,0,338,0,0,0,0,0,1,0,0,2
2,7f717d426914,0,0,338,0,0,0,0,0,0,0,0,0
2,7f717d426d53,0,0,338,0,0,0,0,0,0,0,0,0
3,7f717d426949,7f717d5c8f90,0,1,0,0,0,0,0,1,0,0,2
2,7f717d426947,0,0,1,0,0,0,0,0,0,0,0,0
3,7f717d4a6506,7f717d3456d0,0,338,0,0,0,0,0,1,0,0,2
1,7f717d4a6d40,7f717d4a6c8d,0,338,0,0,0,0,0,1,0,0,2
2,7f717d4a6dfb,7f717d4a6e06,0,338,0,0,0,0,0,1,0,0,2
2,7f717d48e1b5,7f717d48e204,0,338,0,0,0,0,0,338,0,0,676
2,7f717d4a6db7,0,0,338,0,0,0,0,0,1,0,0,2
2,7f717d4a6df6,0,0,338,0,0,0,0,0,0,0,0,0
2,7f717d4269f6,0,0,20,0,0,0,0,0,0,0,0,0
1,7f717d4269ad,7f717d426af8,0,1,0,0,0,0,0,0,0,0,0
3,7f717d4269ef,7f717d16be50,0,20,0,0,0,0,0,1,0,0,2
2,7f717d4269ab,0,0,2,0,1,0,0,0,1,0,0,4
3,7f717d4a699e,7f717d5e6df0,0,338,0,0,0,0,0,1,0,0,2
1,7f717d4a6594,7f717d4a6384,0,338,0,0,0,0,0,1,0,0,2
2,7f717d48e9d7,7f717d48eaa2,0,676,0,0,0,0,0,1,0,0,2
2,7f717d426d96,7f717d426b25,0,1,0,0,0,0,0,1,0,0,2
2,7f717d426992,0,0,1,0,0,0,0,0,0,0,0,0
3,7f717d4a69cf,7f717d5f6050,0,338,0,0,0,0,0,1,0,0,2
2,7f717d4a6dcb,7f717d4a6df0,0,338,0,0,0,0,0,1,0,0,2
2,7f717d4a6dc4,0,0,338,0,0,0,0,0,0,0,0,0
2,7f717d4269c4,7f717d426af8,0,20,0,0,0,0,0,1,0,0,2
3,7f717d4a69c2,7f717d5f6050,0,338,0,0,0,0,0,1,0,0,2
7,7f717d427c3a,7f717d1c697c,0,20,0,0,0,0,0,0,0,0,0
2,7f717d4a6475,7f717d4a6588,0,338,0,0,0,0,0,1,0,0,2
2,7f717d48e46e,0,0,1014,0,0,0,0,0,0,0,0,0
1,7f717d48ec55,7f717d48ebcc,0,676,0,0,0,0,0,1,0,0,2
7,7f717d427c51,7f717d1c697c,0,655,0,0,0,0,0,0,0,0,0
3,7f717d48ec50,7f717d495d90,0,676,0,0,0,0,0,1,0,0,2
2,7f717d4a6c0e,7f717d4a6c98,0,338,0,0,0,0,0,1,0,0,2
7,7f7180c8f4ba,7f717d5ff38d,0,338,0,0,0,0,0,0,0,0,0
1,7f717d4a64bf,7f717d4a63c3,0,338,0,0,0,0,0,1,0,0,2
3,7f717d48e4bf,7f717d48cee0,0,338,0,0,0,0,0,1,0,0,2
2,7f717d4a6cb5,0,0,338,0,0,0,0,0,0,0,0,0
3,7f717d4a64f4,7f717d5f5e60,0,338,0,0,0,0,0,1,0,0,2
3,7f717d48e4f2,7f717d5c8fc0,0,676,0,0,0,0,0,1,0,0,2
7,7f7180c8f811,7f717d5df02e,0,1014,0,0,0,0,0,0,0,0,0
2,7f717d4a6cab,0,0,338,0,0,0,0,0,0,0,0,0
2,7f717d4a6ca3,0,0,338,0,0,0,0,0,0,0,0,0
2,7f7180c26421,0,0,302,0,0,0,0,0,0,0,0,0
1,7f717d48e4d2,7f717d48e461,0,338,0,0,0,0,0,1,0,0,2
2,7f7180c26430,0,0,302,0,0,0,0,0,0,0,0,0
7,7f717d4a7087,7f717d4a5304,0,338,0,0,0,0,0,0,0,0,0
2,7f717d4a6cc1,7f717d4a6d35,0,338,0,0,0,0,0,1,0,0,2
1,7f717d48eb3e,7f717d48eb54,0,676,0,0,0,0,0,339,0,0,678
2,7f717d48e339,0,0,338,0,0,0,0,0,0,0,0,0
2,7f717d48e375,7f717d48e540,0,676,0,0,0,0,0,1,0,0,2
2,7f717d4a6375,7f717d4a6468,0,338,0,0,0,0,0,1,0,0,2
2,7f717d426b35,7f717d4269a0,0,2,0,1,0,0,0,1,0,0,4
2,7f717d426b74,0,0,1,0,0,0,0,0,0,0,0,0
2,7f717d4a6370,0,0,338,0,0,0,0,0,0,0,0,0
2,7f717d48eb72,7f717d48ec27,0,676,0,0,0,0,0,1,0,0,2
2,7f717d48e32b,7f717d48e4d8,0,1014,0,1,0,0,0,1,0,0,4
1,7f717d48eb65,7f717d48eb4a,0,10478,0,0,0,0,0,1,0,0,2
2,7f717d4a6367,0,0,338,0,0,0,0,0,0,0,0,0
3,7f717d426b67,7f717d422f30,0,1,0,0,0,0,0,1,0,0,2
2,7f717d48eb60,7f717d48eb40,0,10816,0,0,0,0,0,342,0,0,684
3,7f717d426b20,7f717d16c4b0,0,1,0,0,0,0,0,1,0,0,2
2,7f717d48e363,7f717d48e36f,0,676,0,1,0,0,0,1,0,0,4
3,7f717d48e31f,7f717d5c9810,0,1014,0,0,0,0,0,1,0,0,2
2,7f717d4a635e,0,0,338,0,0,0,0,0,0,0,0,0
2,7f717d48e359,7f717d48e4b8,0,1014,0,0,0,0,0,1,0,0,2
2,7f717d4a6f58,0,0,338,0,0,0,0,0,0,0,0,0
2,7f717d426b18,7f717d426d90,0,2,0,0,0,0,0,1,0,0,2
